1AB8	FORSKOLIN
1D5R	PTEN
1DIY	COX1
1FVR	KIN-Tie2
1HJ1	ER_B
1I3O	Caspase-3
1L8K	PTP-T
1NPO	OXYTOCIN
1PYO	Caspase-2
1T0J	CNTX
1XNX	CAR_Antagonist
1XNX	hCAR_SAP
1YK0	ANF1
2AHS	PTPb
2BXS	MAO-A(Central)
2C2Z	Caspase 8
2C67	MAO-B(Central)
2HI4	CYP1A2
2I75	PTP-MEG1
2NLK	PTP-D2
2QR9	ER_M
2QYK	PDE4A1A
2V5Y	PTP-MU
2XWT	TRH
2Y6C	MMP7
2Z5X	MAO-A(Peripheral)
3AYU	MMP2
3EHS	CRF
3F81	PP-VHR
3F96	PAF
3F96	PLASMA ESTERASE
3HIL	EPHA1
3IBD	CYP2B6(h)
3KN5	KIN-MSK1
3LVP	IGF1R
3M2W	KIN-MAPKAPK2
3NWE	COMT
3NYA	ALPHA1
3OMV	cRAF
3QN1	PP-2Ca_new
3SHI	MMP1
3SQ9	NIC_BNTX_SENS_NEUR
3ZFM	EphB2
4A69	HDAC3
4AGD	VEGFR2
4BSK	FLT4
4CRT	MAO-B(Peripheral)
4D10	NOS
4DEY	NITREN
4DJH	KAPPA
4EKK	KIN-PKBb
4ETM	LMPTP-A
4G9L	MMP3
4GE2	PTP-MEG2
4GPO	BETA1_HMNCELLS
4GQS	CYP2C19(h)
4GRY	PTP-SHP1
4GV1	KIN-PKBa
4HGT	Kin-Ck1D
4HKR	DLTZM
4I8V	CYP1A1
4IAQ	5HT1
4IYP	PP2a
4JP4	MMP13
4LNW	Tra
4MQE	GABAB
4MQS	M2_HR
4MS3	GABAA
4NZ2	CYP2C9(h)
4OAR	PR_H
4OEW	PDE5A1
4OIV	FXR_ANT_SAP
4OR2	mGluR1
4PIR	5HT3
4PVG	PTP-SHP2
4QTB	KIN-MAPK3
4R7H	FMS
4RUI	CYP2A6(h)
4RWA	DELTA1_HR
4TK1	BDZ_P
4TK1	GABA_ALPHA1
4TK1	GABA_ALPHA5
4TK1	GABA_ALPHA6
4TZI	KIN-Lyn
4U14	M3_HR
4W4W	Jnk2a2
4XNU	DAT
4XNV	P2Y
4ZNX	KIN-FYN
4ZTQ	AurA
4ZZH	Sirt1
5A86	PXR
5A8X	Elastase
5BWN	Sirt3
5C1M	MU_HR
5CF4	JAK2
5CFB	STRYCH
5CGC	mGluR5
5CXV	M1_HR
5D6L	BETA2_HR_V3
5DDN	MK801
5DDN	NMDA
5DHH	ORL1_HR
5DSG	M4_HR
5E1S	KIN-InsR
5EEF	HDAC6
5FMV	PTP-CD45(h)
5FNA	Caspase-1
5G4C	Sirt2
5GLH	ETA_H
5GLH	ETB_H
5GLJ	PTP_BAS
5HCC	C5A
5HDE	PTP_PEST
5HF5	Achase_HR
5HLN	KIN-GSK3b
	5HT2C
	5HT4
	5HT5
	5HT6
	5HT7
5HTI	KIN-MET
	5HTNS
5HVU	ROCK1
5HYK	PPAR-ALPHA
5I0B	PAK4
5I1B	PP1a
5I6X	SERT
5I6X	SERT_H
5I7P	FK506
5I9U	EphA2
5IAW	FXR_Ag_TRF
5IZF	KIN-PKA
5JFS	TrkA
5K9I	KIN-Src
5KIR	COX2
5L1B	AMPA
5L7E	MRrat
5LYQ	hRAR_SAP
5LYQ	RARa_h_Ag_TRF
5M57	NEK2
5MFQ	KAINIC
5NEV	CDK2_CycA
5NGU	MAPK1_ERK2
5SW8	PI3Ka
5T04	NT
5T04	NT_HR
5T19	PTP1b
5T5T	AMPKα1β1γ1
5T89	FLT1
5T90	NICOhmn
5TE8	CYP3A4(h)
5TFT	CYP2D6(h)
5TH6	MMP9
5TQW	KIN-IKKa
5tT8E	AR_RAT
5tT8E	TEST_H
5TTO	PPAR_GAMMA
5TVN	5HT2A
5U2D	ER_H
5U8L	EGFR
5UEN	ADEN1HMN
5UFS	GR_H
5UNF	AT_1H
5UQ0	FGFR1
5UWF	PDE10A1
5V0N	BETA-SECRETASE
5VA1	APAMIN
5VA1	GLIB
5VA1	HERG
5VB8	SODIUM2
A2AR	I2
	Achase
	ADEN2A_HR
	ADENNS
	ALPHA1A
	ALPHA1B
	ALPHA2
	ALPHA2A
	ALPHA2B
	ALPHA2C_HR
	AOT
	AOT_H
	AT2
	BDZ_P_H
	BETA3_H
	BETANS
	BK2
	Caspase 10
	Caspase-5
	CCKA
	CCKB
	DAT_HR
	DNS
	GABA_NS
	GALANIN
	GHB
	H1
	H1_H
	H2
	H3
	LTB4
	LTB41
	LTD4
	M5_HR
	M_NS_PER
MODEL	Caspase-4
MODEL	CYP4F12(h)
MODEL	D1_HR
MODEL	D25_HR
MODEL	D44_HR
Name of RCSB PDB ID	Name of PDF file
	NET
	NET_HR
	NK1
	NK2_HR
	NK3
NMR-SWISSID:1oqy	CYPC19(h)
	NPY1
	NPY2
	NPYNS
	OPIANSNA
	OPIATNS
	PR_B
	PTP-LAR
	SIGMANS
	SOMATOS
	TxA2
	V1
	V1A
	VIP
	VMAT2
