5HT1	NVS_GPCR_r5HT1_NonSelective
5HT2A_H	NVS_GPCR_h5HT2A
5HT2C	NVS_GPCR_p5HT2C
5HT3-H	NVS_LGIC_h5HT3
5HT4	NVS_GPCR_g5HT4
5HT5A_HR	NVS_GPCR_h5HT5A
5HT6_HR	NVS_GPCR_h5HT6
5HT7_HR	NVS_GPCR_h5HT7
5HTNS	NVS_GPCR_r5HT_NonSelective
Achase_HR	NVS_ENZ_hAChE
Achase_HR	NVS_ENZ_hAChE_Activator
Achase	NVS_ENZ_rAChE
Achase	NVS_ENZ_rAChE_Activator
ADEN1HMN	NVS_GPCR_hAdoRA1
ADEN2A_HR	NVS_GPCR_hAdoRA2a
ADENNS	NVS_GPCR_bAdoR_NonSelective
ALPHA1A	NVS_GPCR_rAdra1A
ALPHA1B	NVS_GPCR_rAdra1B
ALPHA1	NVS_GPCR_rAdra1_NonSelective
ALPHA2A	NVS_GPCR_hAdra2A
ALPHA2B	NVS_GPCR_rmAdra2B
ALPHA2C_HR	NVS_GPCR_hAdra2C
ALPHA2	NVS_GPCR_rAdra2_NonSelective
AMPA	NVS_LGIC_rAMPA
AMPKa1b1g1	NVS_ENZ_hAMPKa1
AMPKa1b1g1	NVS_ENZ_hAMPKa1_Activator
ANF1	NVS_GPCR_gANPA
AOT_H	NVS_TR_hAdoT
AOT	NVS_TR_rAdoT
APAMIN	NVS_IC_rKCaCh
AR_RAT	NVS_NR_rAR
AT1_H	NVS_GPCR_hAT1
AT2	NVS_GPCR_bAT2
BDZ_P_H	NVS_MP_hPBR
BDZ_P	NVS_MP_rPBR
BETA1_HMNCELLS	NVS_GPCR_hAdrb1
BETA2_HR_V3	NVS_GPCR_hAdrb2
BETA3_H	NVS_GPCR_hAdrb3
BETANS	NVS_GPCR_rAdrb_NonSelective
BETA-SECRETASE	NVS_ENZ_hBACE
BETA-SECRETASE	NVS_ENZ_hBACE_Activator
BK2	NVS_GPCR_gBK2
C5a	NVS_GPCR_hC5a
CAR_Agonist	NVS_NR_hCAR_Agonist
Caspase10	NVS_ENZ_hCASP10
Caspase10	NVS_ENZ_hCASP10_Activator
Caspase1	NVS_ENZ_hCASP1
Caspase1	NVS_ENZ_hCASP1_Activator
Caspase2	NVS_ENZ_hCASP2
Caspase2	NVS_ENZ_hCASP2_Activator
Caspase3	NVS_ENZ_hCASP3
Caspase3	NVS_ENZ_hCASP3_Activator
Caspase4	NVS_ENZ_hCASP4
Caspase4	NVS_ENZ_hCASP4_Activator
Caspase5	NVS_ENZ_hCASP5
Caspase5	NVS_ENZ_hCASP5_Activator
Caspase8	NVS_ENZ_hCASP8
Caspase8	NVS_ENZ_hCASP8_Activator
CCKA	NVS_GPCR_mCCKAPeripheral
CCKB	NVS_GPCR_mCKKBCentral
CDK2_cycA	NVS_ENZ_hCDK2
CDK2_cycA	NVS_ENZ_hCDK2_Activator
C:\Novascreen\Supplemental	AC50sfolderlocation
C:\Novascreen\Supplemental	MiniSOPsfolderlocation
CNTX	NVS_IC_rCaChN
COMT	NVS_ENZ_rCOMT
COMT	NVS_ENZ_rCOMT_Activator
COX1	NVS_ENZ_oCOX1
COX1	NVS_ENZ_oCOX1_Activator
COX2	NVS_ENZ_oCOX2
COX2	NVS_ENZ_oCOX2_Activator
cRAF	NVS_ENZ_hRAF1
cRAF	NVS_ENZ_hRAF1_Activator
CRF	NVS_GPCR_rCRF
CYP1A1(h)	NVS_ADME_hCYP1A1
CYP1A1(h)	NVS_ADME_hCYP1A1_Activator
CYP1A2(h)	NVS_ADME_hCYP1A2
CYP1A2(h)	NVS_ADME_hCYP1A2_Activator
CYP2A6(h)	NVS_ADME_hCYP2A6
