94.31	1HJ1	1NPO	2V5Y	3OMV	4ETM	4GV1	4HGT	4JP4	4OEW	4ZNX	4ZTQ	5A8X	5HYK	5I9U	5K9I	5L1B	5NEV	5TVN	5UQ0
20336	1.49	1.49	1.49	1.49	-3.94	-3.17	-5.6	10000	1.49	1.49	-2.46	-0.14	1.49	1.49	9.95	1.49	-2.19	10000	10000
20666	1.0	0.93	0.99	1.1	-2.18	-2.31	-3.0	10000	1.02	0.96	-1.79	0.4	0.99	1.0	-3.39	0.86	-0.12	10000	10000
20716	0.89	0.89	0.89	0.89	-5.06	-4.04	-6.66	10000	0.89	0.89	-3.03	-0.84	0.89	0.89	12.58	0.89	10000	10000	10000
20894	0.51	0.36	0.5	0.71	-2.82	-3.2	-2.63	10000	0.55	0.44	-1.84	0.72	0.49	0.5	-2.76	0.23	10000	10000	10000
23846	2.09	2.09	2.09	2.08	-3.14	-3.13	-4.86	10000	2.07	2.09	-1.95	0.64	2.09	2.09	-4.79	2.09	10000	10000	10000
24151	2.09	2.09	2.09	2.09	-1.87	-1.31	-3.36	10000	2.08	2.09	-1.45	0.74	2.09	2.09	-3.34	2.09	10000	10000	10000
26261	0.6	0.6	0.6	0.59	-2.98	-2.49	-4.28	10000	0.59	0.6	-2.16	-0.44	0.6	0.6	-4.12	0.6	10000	10000	10000
26602	1.49	1.49	1.49	1.49	-4.64	-4.11	-7.01	10000	1.49	1.49	-3.1	-0.36	1.49	1.49	7.12	1.49	10000	10000	10000
31862	0.7	0.63	0.7	0.8	-4.5	-4.1	-5.91	10000	0.72	0.66	-3.33	0.06	0.69	0.7	-3.53	0.56	10000	10000	10000
32601	1.63	1.74	1.67	1.48	-3.85	-3.28	-6.59	10000	1.57	1.69	-2.76	-0.63	1.64	1.67	-1.75	1.82	10000	10000	10000
32613	1.6	1.53	1.59	1.7	-4.56	-3.27	-6.56	10000	1.62	1.56	-2.72	0.91	1.59	1.6	35.75	1.46	10000	10000	10000
40363	2.6	2.45	2.59	2.8	-4.03	-3.3	-5.49	10000	2.63	2.52	-2.05	2.2	2.58	2.59	38.06	2.32	10000	10000	10000
47339	1.7	1.56	1.69	1.91	-3.8	-3.64	-5.49	10000	1.74	1.63	-2.82	1.47	1.69	1.7	94.31	1.43	10000	10000	10000
