1HJ1	NVS_NR_bER
1NPO	NVS_GPCR_rOXT
2V5Y	NVS_ENZ_hPTPRM
2V5Y	NVS_ENZ_hPTPRM_Activator
3OMV	NVS_ENZ_hRAF1
3OMV	NVS_ENZ_hRAF1_Activator
4ETM	NVS_ENZ_hACP1
4ETM	NVS_ENZ_hACP1_Activator
4GV1	NVS_ENZ_hAKT1
4GV1	NVS_ENZ_hAKT1_Activator
4JP4	NVS_ENZ_hMMP13
4JP4	NVS_ENZ_hMMP13_Activator
4OEW	NVS_ENZ_hPDE5
4OEW	NVS_ENZ_hPDE5_Activator
4ZNX	NVS_ENZ_hFyn
4ZNX	NVS_ENZ_hFyn_Activator
5A8X	NVS_ENZ_hElastase
5A8X	NVS_ENZ_hElastase_Activator
5K9I	NVS_ENZ_hSRC
5K9I	NVS_ENZ_hSRC_Activator
5L1B	NVS_LGIC_rAMPA
5UQ0	NVS_ENZ_hFGFR1
5UQ0	NVS_ENZ_hFGFR1_Activator
