-7.01	63.33
5I9U	40363	2.59
5HYK	47339	1.69
1NPO	23846	2.09
1NPO	26261	0.6
1NPO	31862	0.63
1NPO	26602	1.49
3OMV	23846	2.08
4ZTQ	40363	-2.05
4ETM	40363	-4.03
5NEV	31862	-1.44
1HJ1	31862	0.7
5I9U	26602	1.49
1HJ1	40363	2.6
4ZNX	26261	0.6
2V5Y	40363	2.59
4JP4	20716	0.63
4ZNX	40363	2.52
5A8X	26261	-0.44
2V5Y	24151	2.09
5NEV	32601	-2.62
5A8X	20716	-0.84
4HGT	47339	-5.49
5L1B	24151	2.09
5HYK	32613	1.59
5L1B	31862	0.56
1HJ1	32601	1.63
4ZTQ	24151	-1.45
4ETM	32601	-3.85
1NPO	40363	2.45
5NEV	26602	-2.07
1HJ1	20716	0.89
5L1B	32613	1.46
4ETM	20716	-5.06
5TVN	20894	0.46
5K9I	32601	-1.75
4ZNX	32613	1.56
3OMV	26261	0.59
4GV1	26261	-2.49
5K9I	20894	-2.76
5UQ0	26261	-3.53
5A8X	20894	0.72
5HYK	20894	0.49
5UQ0	20336	-3.52
5L1B	26602	1.49
4ZNX	31862	0.66
3OMV	20336	1.49
4OEW	20336	1.49
3OMV	32601	1.48
4JP4	24151	1.94
1HJ1	47339	1.7
4OEW	24151	2.08
5I9U	23846	2.09
4HGT	24151	-3.36
4JP4	40363	2.38
4ZTQ	26261	-2.16
3OMV	20894	0.71
4ETM	26602	-4.64
1HJ1	24151	2.09
4HGT	20666	-3.0
5L1B	40363	2.32
5TVN	23846	1.98
5NEV	26261	-1.49
5UQ0	31862	-4.77
4ZNX	20336	1.49
2V5Y	20894	0.5
4ZTQ	20716	-3.03
4HGT	32601	-6.59
1HJ1	23846	2.09
5UQ0	20666	-2.74
5UQ0	32601	-4.71
5HYK	24151	2.09
5K9I	20336	9.95
1NPO	24151	2.09
5A8X	20336	-0.14
5L1B	26261	0.6
3OMV	26602	1.49
5NEV	32613	-0.42
4ZTQ	47339	-2.82
1HJ1	32613	1.6
5K9I	31862	-3.53
5TVN	24151	2.03
5UQ0	20716	-4.79
4HGT	32613	-6.56
4OEW	31862	0.72
4ZNX	23846	2.09
1HJ1	20894	0.51
5TVN	40363	2.59
5UQ0	47339	-3.87
1NPO	20716	0.89
4HGT	31862	-5.91
5K9I	24151	-3.39
5TVN	32613	1.59
5I9U	31862	0.7
4ETM	24151	-1.87
4JP4	32613	1.41
3OMV	24151	2.09
1HJ1	26602	1.49
3OMV	40363	2.8
4ZNX	24151	2.09
1NPO	32601	1.74
1NPO	20336	1.49
2V5Y	31862	0.7
5TVN	47339	1.69
4ETM	47339	-3.8
4OEW	32601	1.57
5I9U	26261	0.6
5K9I	20666	-3.39
5HYK	20716	0.89
4ZTQ	32613	-2.72
5I9U	24151	2.09
5UQ0	26602	-4.81
4ZTQ	20894	-1.84
5HYK	20336	1.49
2V5Y	47339	1.69
5TVN	26602	1.43
5L1B	20336	1.49
5UQ0	23846	-3.69
4OEW	20716	0.89
4ETM	20894	-2.82
2V5Y	20336	1.49
5K9I	26602	5.47
4HGT	20336	-5.6
4OEW	32613	1.62
4HGT	40363	-5.49
5K9I	40363	36.95
5L1B	32601	1.82
4OEW	20894	0.55
5I9U	20894	0.5
5L1B	47339	1.43
5NEV	40363	1.03
4GV1	20666	-2.31
4HGT	20716	-6.66
4GV1	40363	-3.3
3OMV	20716	0.89
4GV1	47339	-3.64
1HJ1	20336	1.49
4JP4	23846	1.97
5TVN	20666	0.99
4OEW	20666	1.02
5TVN	20336	1.47
5NEV	24151	-0.46
5UQ0	20894	-3.11
4ZTQ	23846	-1.95
5TVN	26261	0.54
5HYK	23846	2.09
5K9I	23846	-4.85
4ZTQ	32601	-2.76
4ZNX	26602	1.49
5L1B	20716	0.89
4ZNX	47339	1.63
5UQ0	40363	-3.13
1HJ1	26261	0.6
4GV1	20894	-3.2
5K9I	26261	-4.12
4ZTQ	20666	-1.79
4GV1	20716	-4.04
5TVN	32601	1.6
5HYK	26602	1.49
4ZNX	20894	0.44
3OMV	47339	1.91
1NPO	20894	0.36
5A8X	23846	0.64
4OEW	47339	1.74
5UQ0	32613	-4.55
4HGT	20894	-2.63
4HGT	26261	-4.28
4HGT	26602	-7.01
5NEV	47339	0.18
4HGT	23846	-4.86
4JP4	47339	1.49
4GV1	20336	-3.17
5K9I	47339	63.33
5TVN	20716	0.85
5NEV	20894	0.36
5A8X	24151	0.74
5I9U	47339	1.7
5NEV	20666	-0.19
5A8X	47339	1.47
4GV1	24151	-1.31
4GV1	32613	-3.27
5NEV	20336	-2.2
5NEV	23846	-1.41
5L1B	20894	0.23
5TVN	31862	0.67
4OEW	40363	2.63
3OMV	32613	1.7
4JP4	32601	1.51
4JP4	20336	0.95
4ETM	20666	-2.18
4OEW	23846	2.07
4JP4	31862	0.42
2V5Y	23846	2.09
5HYK	26261	0.6
5A8X	32601	-0.63
5L1B	23846	2.09
4GV1	26602	-4.11
4JP4	26602	1.25
4ZTQ	20336	-2.46
5A8X	31862	0.06
2V5Y	20666	0.99
2V5Y	32613	1.59
5NEV	20716	-2.47
2V5Y	20716	0.89
4ETM	32613	-4.56
5K9I	20716	12.58
4ETM	23846	-3.14
3OMV	31862	0.8
5I9U	20336	1.49
4ETM	26261	-2.98
4ETM	20336	-3.94
4ETM	31862	-4.5
4OEW	26602	1.49
4JP4	26261	0.45
1NPO	47339	1.56
2V5Y	26602	1.49
4GV1	23846	-3.13
5HYK	32601	1.64
4GV1	32601	-3.28
4ZTQ	31862	-3.33
5I9U	32601	1.67
3OMV	20666	1.1
4JP4	20666	0.9
2V5Y	32601	1.67
1NPO	20666	0.93
5A8X	20666	0.4
2V5Y	26261	0.6
5I9U	20716	0.89
5HYK	20666	0.99
5I9U	32613	1.6
5I9U	20666	1.0
4ZNX	32601	1.69
4GV1	31862	-4.1
4ZNX	20716	0.89
4OEW	26261	0.59
1NPO	32613	1.53
5K9I	32613	35.75
5UQ0	24151	-2.44
5A8X	32613	0.91
1HJ1	20666	1.0
5L1B	20666	0.86
4JP4	20894	0.39
5A8X	40363	2.2
4ZNX	20666	0.96
5HYK	40363	2.58
4ZTQ	26602	-3.1
5HYK	31862	0.69
5A8X	26602	-0.36
